# Requirements automatically generated by pigar.
# https://github.com/damnever/pigar

# src/detection/tl_detection/scripts/cython_utils/setup.backup.py: 3
# src/detection/tl_detection/scripts/cython_utils/setup.py: 3
Cython == 0.28.2

# src/segmentation/scripts/steering_simulation.py: 6
# src/steering_control/scripts/simulation.py: 15
Flask == 1.0.2

# src/cruise_control/ml/visualization.py: 14
# src/cruise_control/scripts/model.py: 5,6,7,8
# src/detection/object_detection/scripts/yad2k/models/keras_darknet19.py: 5,6,7,8,9
# src/detection/object_detection/scripts/yad2k/models/keras_yolo.py: 6,7,8,9
# src/segmentation/scripts/models/__init__.py: 2
# src/segmentation/scripts/models/enet_naive_upsampling/decoder.py: 2,3,4,5
# src/segmentation/scripts/models/enet_naive_upsampling/encoder.py: 5,6,7
# src/segmentation/scripts/models/enet_naive_upsampling/model.py: 5,6,7
# src/segmentation/scripts/models/enet_unpooling/decoder.py: 3,4,5,6
# src/segmentation/scripts/models/enet_unpooling/encoder.py: 5,6
# src/segmentation/scripts/models/enet_unpooling/model.py: 5,6,7,8
# src/segmentation/scripts/models/icnet/decoder.py: 3,4,5
# src/segmentation/scripts/models/icnet/encoder.py: 6,8
# src/segmentation/scripts/models/icnet/model.py: 6,7,8,9
# src/segmentation/scripts/models/layers/core.py: 2,3,4,5,9,23
# src/segmentation/scripts/models/layers/pooling.py: 2,3
# src/segmentation/scripts/visualization.py: 13,17
# src/steering_control/scripts/autumn.py: 12,13,14,15,17,18,19,20
# src/steering_control/scripts/models/models.py: 6,7,8,9,10
# src/steering_control/scripts/models/vgg16_model.py: 3,4,6
# src/steering_control/scripts/rambo.py: 10
# src/steering_control/scripts/validation.py: 3
# src/steering_control/scripts/visualization/data.py: 5
Keras == 2.1.6

# src/detection/object_detection/scripts/yad2k/utils/draw_boxes.py: 7
# src/segmentation/scripts/segmentor.py: 16
# src/segmentation/scripts/steering_simulation.py: 10
# src/segmentation/scripts/visualization.py: 18
# src/steering_control/scripts/autumn.py: 8,9,10
# src/steering_control/scripts/simulation.py: 14
# src/steering_control/scripts/visualization/visualization.py: 9,10,11
Pillow == 5.1.0

# src/simulation/scripts/carla_ros_bridge.py: 18,19,20
# src/simulation/scripts/client.py: 29,30,31,32
# src/simulation/scripts/manual_control.py: 54,55,56,57,58
# carla_client == 0.8.0

# src/segmentation/scripts/steering_simulation.py: 5
# src/steering_control/scripts/simulation.py: 13
eventlet == 0.23.0

# src/path_planning/scripts/global_path.py: 1
googlemaps == 2.5.1

# src/steering_control/scripts/models/vgg16_model.py: 5
h5py == 2.7.1

# src/detection/object_detection/scripts/device_test.py: 30
imutils == 0.4.6

# src/steering_control/scripts/visualization/visualization.py: 13
keras_vis == 0.4.1

# src/cruise_control/ml/train.py: 7
# src/detection/lane_detection/scripts/lane_detector.py: 9
# src/segmentation/scripts/segmentation_analyzer.py: 6
# src/segmentation/scripts/test.py: 7
# src/segmentation/scripts/train.py: 6
# src/segmentation/scripts/visualization.py: 12
# src/steering_control/scripts/train.py: 15
# src/steering_control/scripts/validation_viz.py: 14,15,16
# src/steering_control/scripts/visualization/testing_visualizer.py: 14,15,16
matplotlib == 2.2.2

# src/cruise_control/ml/train.py: 10
# src/cruise_control/ml/visualization.py: 7
# src/cruise_control/scripts/utils.py: 2
# src/detection/lane_detection/scripts/lane_detector.py: 6
# src/detection/lane_detection/scripts/utils.py: 8
# src/detection/object_detection/scripts/device_test.py: 29
# src/detection/object_detection/scripts/yad2k/models/keras_yolo.py: 4
# src/detection/object_detection/scripts/yad2k/utils/draw_boxes.py: 6
# src/detection/tl_detection/scripts/cfg/process.py: 5
# src/detection/tl_detection/scripts/cython_utils/setup.backup.py: 4
# src/detection/tl_detection/scripts/cython_utils/setup.py: 4
# src/detection/tl_detection/scripts/dark/connected.py: 2
# src/detection/tl_detection/scripts/dark/convolution.py: 2
# src/detection/tl_detection/scripts/dark/layer.py: 2
# src/detection/tl_detection/scripts/net/flow.py: 4
# src/detection/tl_detection/scripts/net/help.py: 7
# src/detection/tl_detection/scripts/net/ops/baseop.py: 2
# src/detection/tl_detection/scripts/net/ops/convolution.py: 4
# src/detection/tl_detection/scripts/net/yolo/__init__.py: 5
# src/detection/tl_detection/scripts/net/yolo/data.py: 2,7
# src/detection/tl_detection/scripts/net/yolo/misc.py: 2
# src/detection/tl_detection/scripts/net/yolo/train.py: 5
# src/detection/tl_detection/scripts/net/yolov2/__init__.py: 5
# src/detection/tl_detection/scripts/net/yolov2/data.py: 2,7
# src/detection/tl_detection/scripts/net/yolov2/test.py: 1
# src/detection/tl_detection/scripts/net/yolov2/train.py: 5
# src/detection/tl_detection/scripts/run.py: 6
# src/detection/tl_detection/scripts/tlight_node.py: 4
# src/detection/tl_detection/scripts/utils/box.py: 1
# src/detection/tl_detection/scripts/utils/im_transform.py: 1
# src/detection/tl_detection/scripts/utils/images_to_mp4.py: 3
# src/detection/tl_detection/scripts/utils/loader.py: 4
# src/segmentation/scripts/segmentor.py: 15
# src/segmentation/scripts/steering_simulation.py: 3
# src/segmentation/scripts/test.py: 4
# src/segmentation/scripts/train.py: 5
# src/segmentation/scripts/utils.py: 12
# src/segmentation/scripts/visualization.py: 16
# src/simulation/scripts/carla_ros_bridge.py: 9
# src/simulation/scripts/client.py: 18
